Country_code,Country,year,NY.GDP.PCAP.KD.ZG,SH.DYN.MORT,SH.MED.PHYS.ZS,SP.DYN.LE00.IN,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
SVN,Slovenia,2016,2.95902414777296,2.6,3.019,81.1756097560976,2065042.0,53.647274017334
SWE,Sweden,1976,0.691238137203413,9.8,1.8,74.9692682926829,8222286.0,82.7897023826296
SWE,Sweden,1980,1.49373317290613,8.4,2.2,75.7409756097561,8310531.0,83.0882867174939
SWE,Sweden,1984,4.13486530060632,7.7,2.6,76.8158536585366,8336605.0,83.0966927900602
SWE,Sweden,1988,2.08876053466133,7.3,2.8,76.9792682926829,8436489.0,83.2321207888848
SWE,Sweden,1992,-1.73663035646904,6.2,3.468,77.9987804878049,8668067.0,83.6078889853357
SWE,Sweden,1996,1.54298849078722,4.6,2.838,78.9590243902439,8840998.0,83.9365712484942
SWE,Sweden,2000,4.46324425617721,4.1,3.026,79.6439024390244,8872109.0,84.0400009155273
SWE,Sweden,2004,3.77065163055421,3.7,3.373,80.4975609756098,8993531.0,84.2670710494849
SWE,Sweden,2008,-1.6919565204184,3.2,3.681,81.1,9219637.0,84.7517366727063
SWE,Sweden,2012,-1.14837721022437,3.0,3.967,81.7048780487805,9519374.0,85.6250668883122
SWE,Sweden,2016,0.855975824436371,2.8,4.233,82.3073170731707,9923085.0,87.0
SWZ,Eswatini,1996,1.80600304729556,87.1,0.151,53.296,989841.0,23.0616648391073
SWZ,Eswatini,2004,2.99348109442741,116.2,0.159,43.906,1073159.0,22.3077107838089
SWZ,Eswatini,2016,2.34965752297238,55.3,0.093,56.228,1149507.0,23.5278881746356
SYC,Seychelles,1996,8.3958454530317,14.1,1.324,71.5609756097561,76417.0,45.4469524119701
SYC,Seychelles,2004,-2.49000825290008,13.8,1.372,72.6609756097561,82475.0,42.9237756892027
SYC,Seychelles,2008,-4.87712623002744,13.9,0.757,73.1634146341463,86956.0,42.696637125589
SYC,Seychelles,2012,2.10412826503328,14.3,0.935,74.2756097560976,88303.0,42.7261758463169
SYC,Seychelles,2016,10.6277900412689,14.6,1.849,74.309756097561,94677.0,43.2815632531296
SYR,Syrian Arab Republic,1980,10.7274172750547,60.3,0.446,66.545,8957663.0,46.7329879694194
SYR,Syrian Arab Republic,2000,-1.80421522520456,23.2,1.347,70.856,16637888.0,51.876811612138
SYR,Syrian Arab Republic,2004,4.2935988060548,20.3,1.412,72.494,18336875.0,53.5
